Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 01:04:28.288000,1,,1,0 days 00:15:13.239000,,,0 days 00:00:36.216000,0 days 00:00:26.263000,,0 days 01:04:02.065000,0 days 01:04:28.409000,212.0,186.0,274.0,306.0,False,HARD,1.0,True,1,0 days 01:02:46.300000,Red Bull Racing,VER,1,False,2023-05-07 19:33:47.558
0 days 01:06:02.548000,1,0 days 00:01:34.260000,2,,,0 days 00:00:32.857000,0 days 00:00:35.277000,0 days 00:00:26.126000,0 days 01:05:01.145000,0 days 01:05:36.422000,0 days 01:06:02.548000,,184.0,271.0,295.0,False,HARD,2.0,True,1,0 days 01:04:28.288000,Red Bull Racing,VER,1,True,2023-05-07 19:35:29.546
0 days 01:07:36.675000,1,0 days 00:01:34.127000,3,,,0 days 00:00:32.337000,0 days 00:00:35.896000,0 days 00:00:25.894000,0 days 01:06:34.885000,0 days 01:07:10.781000,0 days 01:07:36.675000,215.0,183.0,285.0,286.0,False,HARD,3.0,True,1,0 days 01:06:02.548000,Red Bull Racing,VER,1,True,2023-05-07 19:37:03.806
0 days 01:09:09.610000,1,0 days 00:01:32.935000,4,,,0 days 00:00:32.042000,0 days 00:00:34.996000,0 days 00:00:25.897000,0 days 01:08:08.717000,0 days 01:08:43.713000,0 days 01:09:09.610000,213.0,185.0,273.0,309.0,False,HARD,4.0,True,1,0 days 01:07:36.675000,Red Bull Racing,VER,1,True,2023-05-07 19:38:37.933
0 days 01:10:42.485000,1,0 days 00:01:32.875000,5,,,0 days 00:00:32.029000,0 days 00:00:34.998000,0 days 00:00:25.848000,0 days 01:09:41.639000,0 days 01:10:16.637000,0 days 01:10:42.485000,,186.0,274.0,309.0,False,HARD,5.0,True,1,0 days 01:09:09.610000,Red Bull Racing,VER,1,True,2023-05-07 19:40:10.868
0 days 01:12:15.238000,1,0 days 00:01:32.753000,6,,,0 days 00:00:31.893000,0 days 00:00:35.037000,0 days 00:00:25.823000,0 days 01:11:14.378000,0 days 01:11:49.415000,0 days 01:12:15.238000,211.0,185.0,281.0,307.0,False,HARD,6.0,True,1,0 days 01:10:42.485000,Red Bull Racing,VER,1,True,2023-05-07 19:41:43.743
0 days 01:13:47.793000,1,0 days 00:01:32.555000,7,,,0 days 00:00:31.915000,0 days 00:00:34.921000,0 days 00:00:25.719000,0 days 01:12:47.153000,0 days 01:13:22.074000,0 days 01:13:47.793000,213.0,185.0,283.0,318.0,False,HARD,7.0,True,1,0 days 01:12:15.238000,Red Bull Racing,VER,1,True,2023-05-07 19:43:16.496
0 days 01:15:20.740000,1,0 days 00:01:32.947000,8,,,0 days 00:00:32.196000,0 days 00:00:35.116000,0 days 00:00:25.635000,0 days 01:14:19.989000,0 days 01:14:55.105000,0 days 01:15:20.740000,,186.0,280.0,337.0,False,HARD,8.0,True,1,0 days 01:13:47.793000,Red Bull Racing,VER,1,True,2023-05-07 19:44:49.051
0 days 01:16:53.728000,1,0 days 00:01:32.988000,9,,,0 days 00:00:31.890000,0 days 00:00:35.221000,0 days 00:00:25.877000,0 days 01:15:52.630000,0 days 01:16:27.851000,0 days 01:16:53.728000,210.0,184.0,273.0,318.0,False,HARD,9.0,True,1,0 days 01:15:20.740000,Red Bull Racing,VER,1,True,2023-05-07 19:46:21.998
0 days 01:18:26.468000,1,0 days 00:01:32.740000,10,,,0 days 00:00:31.796000,0 days 00:00:35.097000,0 days 00:00:25.847000,0 days 01:17:25.524000,0 days 01:18:00.621000,0 days 01:18:26.468000,213.0,187.0,273.0,307.0,False,HARD,10.0,True,1,0 days 01:16:53.728000,Red Bull Racing,VER,1,True,2023-05-07 19:47:54.986
0 days 01:19:58.719000,1,0 days 00:01:32.251000,11,,,0 days 00:00:31.481000,0 days 00:00:34.914000,0 days 00:00:25.856000,0 days 01:18:57.949000,0 days 01:19:32.863000,0 days 01:19:58.719000,212.0,186.0,274.0,312.0,False,HARD,11.0,True,1,0 days 01:18:26.468000,Red Bull Racing,VER,1,True,2023-05-07 19:49:27.726
0 days 01:21:31.023000,1,0 days 00:01:32.304000,12,,,0 days 00:00:31.628000,0 days 00:00:34.885000,0 days 00:00:25.791000,0 days 01:20:30.347000,0 days 01:21:05.232000,0 days 01:21:31.023000,,186.0,276.0,314.0,False,HARD,12.0,True,1,0 days 01:19:58.719000,Red Bull Racing,VER,1,True,2023-05-07 19:50:59.977
0 days 01:23:02.759000,1,0 days 00:01:31.736000,13,,,0 days 00:00:31.561000,0 days 00:00:34.698000,0 days 00:00:25.477000,0 days 01:22:02.584000,0 days 01:22:37.282000,0 days 01:23:02.759000,211.0,187.0,281.0,328.0,False,HARD,13.0,True,1,0 days 01:21:31.023000,Red Bull Racing,VER,1,True,2023-05-07 19:52:32.281
0 days 01:24:34.952000,1,0 days 00:01:32.193000,14,,,0 days 00:00:31.857000,0 days 00:00:34.654000,0 days 00:00:25.682000,0 days 01:23:34.616000,0 days 01:24:09.270000,0 days 01:24:34.952000,210.0,187.0,279.0,314.0,False,HARD,14.0,True,1,0 days 01:23:02.759000,Red Bull Racing,VER,1,True,2023-05-07 19:54:04.017
0 days 01:26:07.385000,1,0 days 00:01:32.433000,15,,,0 days 00:00:31.829000,0 days 00:00:34.712000,0 days 00:00:25.892000,0 days 01:25:06.781000,0 days 01:25:41.493000,0 days 01:26:07.385000,209.0,186.0,273.0,306.0,False,HARD,15.0,True,1,0 days 01:24:34.952000,Red Bull Racing,VER,1,True,2023-05-07 19:55:36.210
0 days 01:27:39.718000,1,0 days 00:01:32.333000,16,,,0 days 00:00:31.530000,0 days 00:00:34.973000,0 days 00:00:25.830000,0 days 01:26:38.915000,0 days 01:27:13.888000,0 days 01:27:39.718000,212.0,187.0,273.0,308.0,False,HARD,16.0,True,1,0 days 01:26:07.385000,Red Bull Racing,VER,1,True,2023-05-07 19:57:08.643
0 days 01:29:12.173000,1,0 days 00:01:32.455000,17,,,0 days 00:00:31.531000,0 days 00:00:35.006000,0 days 00:00:25.918000,0 days 01:28:11.249000,0 days 01:28:46.255000,0 days 01:29:12.173000,213.0,186.0,273.0,310.0,False,HARD,17.0,True,1,0 days 01:27:39.718000,Red Bull Racing,VER,1,True,2023-05-07 19:58:40.976
0 days 01:30:44.297000,1,0 days 00:01:32.124000,18,,,0 days 00:00:31.411000,0 days 00:00:34.878000,0 days 00:00:25.835000,0 days 01:29:43.584000,0 days 01:30:18.462000,0 days 01:30:44.297000,215.0,186.0,273.0,310.0,False,HARD,18.0,True,1,0 days 01:29:12.173000,Red Bull Racing,VER,1,True,2023-05-07 20:00:13.431
0 days 01:32:16.370000,1,0 days 00:01:32.073000,19,,,0 days 00:00:31.341000,0 days 00:00:34.978000,0 days 00:00:25.754000,0 days 01:31:15.638000,0 days 01:31:50.616000,0 days 01:32:16.370000,214.0,187.0,275.0,311.0,False,HARD,19.0,True,1,0 days 01:30:44.297000,Red Bull Racing,VER,1,True,2023-05-07 20:01:45.555
0 days 01:33:48.573000,1,0 days 00:01:32.203000,20,,,0 days 00:00:31.391000,0 days 00:00:34.966000,0 days 00:00:25.846000,0 days 01:32:47.761000,0 days 01:33:22.727000,0 days 01:33:48.573000,213.0,186.0,272.0,310.0,False,HARD,20.0,True,1,0 days 01:32:16.370000,Red Bull Racing,VER,1,True,2023-05-07 20:03:17.628
0 days 01:35:20.924000,1,0 days 00:01:32.351000,21,,,0 days 00:00:31.410000,0 days 00:00:35.041000,0 days 00:00:25.900000,0 days 01:34:19.983000,0 days 01:34:55.024000,0 days 01:35:20.924000,,187.0,274.0,309.0,False,HARD,21.0,True,1,0 days 01:33:48.573000,Red Bull Racing,VER,1,True,2023-05-07 20:04:49.831
0 days 01:36:53.191000,1,0 days 00:01:32.267000,22,,,0 days 00:00:31.426000,0 days 00:00:34.969000,0 days 00:00:25.872000,0 days 01:35:52.350000,0 days 01:36:27.319000,0 days 01:36:53.191000,,186.0,274.0,310.0,False,HARD,22.0,True,1,0 days 01:35:20.924000,Red Bull Racing,VER,1,True,2023-05-07 20:06:22.182
0 days 01:38:25.097000,1,0 days 00:01:31.906000,23,,,0 days 00:00:31.310000,0 days 00:00:34.819000,0 days 00:00:25.777000,0 days 01:37:24.501000,0 days 01:37:59.320000,0 days 01:38:25.097000,212.0,187.0,274.0,312.0,False,HARD,23.0,True,1,0 days 01:36:53.191000,Red Bull Racing,VER,1,True,2023-05-07 20:07:54.449
0 days 01:39:57.223000,1,0 days 00:01:32.126000,24,,,0 days 00:00:31.247000,0 days 00:00:35.060000,0 days 00:00:25.819000,0 days 01:38:56.344000,0 days 01:39:31.404000,0 days 01:39:57.223000,215.0,188.0,275.0,308.0,False,HARD,24.0,True,1,0 days 01:38:25.097000,Red Bull Racing,VER,1,True,2023-05-07 20:09:26.355
0 days 01:41:29.142000,1,0 days 00:01:31.919000,25,,,0 days 00:00:31.361000,0 days 00:00:34.818000,0 days 00:00:25.740000,0 days 01:40:28.584000,0 days 01:41:03.402000,0 days 01:41:29.142000,213.0,187.0,274.0,309.0,False,HARD,25.0,True,1,0 days 01:39:57.223000,Red Bull Racing,VER,1,True,2023-05-07 20:10:58.481
0 days 01:43:01.064000,1,0 days 00:01:31.922000,26,,,0 days 00:00:31.253000,0 days 00:00:34.899000,0 days 00:00:25.770000,0 days 01:42:00.395000,0 days 01:42:35.294000,0 days 01:43:01.064000,214.0,187.0,275.0,307.0,False,HARD,26.0,True,1,0 days 01:41:29.142000,Red Bull Racing,VER,1,True,2023-05-07 20:12:30.400
0 days 01:44:32.893000,1,0 days 00:01:31.829000,27,,,0 days 00:00:31.186000,0 days 00:00:34.746000,0 days 00:00:25.897000,0 days 01:43:32.250000,0 days 01:44:06.996000,0 days 01:44:32.893000,215.0,187.0,274.0,305.0,False,HARD,27.0,True,1,0 days 01:43:01.064000,Red Bull Racing,VER,1,True,2023-05-07 20:14:02.322
